Classe,Marqueur,Type,P(Classe),Freq_Globale,Entropie
Colere,«,punctuation,1.0,3.0,-0.0
Colere,»,punctuation,1.0,3.0,-0.0
Colere,critiqué,word,1.0,2.0,-0.0
Colere,inaction,word,1.0,2.0,-0.0
Colere,inaction,lemma,1.0,2.0,-0.0
Colere,gouvernements,word,1.0,2.0,-0.0
Colere,gouvernement,lemma,1.0,2.0,-0.0
Colere,révolter,lemma,1.0,2.0,-0.0
Colere,temps,word,0.5,2.0,1.0
Colere,temps,lemma,0.5,2.0,1.0
Colere,',punctuation,0.375,8.0,1.9056390622295665
Colere,prendre,word,0.3333333333333333,3.0,0.9182958340544896
Colere,prendre,lemma,0.3333333333333333,3.0,0.9182958340544896
Colere,!,punctuation,0.25,4.0,1.5
Joie,content,lemma,1.0,4.0,-0.0
Joie,contente,word,1.0,3.0,-0.0
Joie,super,word,1.0,2.0,-0.0
Joie,super,lemma,1.0,2.0,-0.0
Joie,!,punctuation,0.5,4.0,1.5
Joie,temps,word,0.5,2.0,1.0
Joie,temps,lemma,0.5,2.0,1.0
Joie,',punctuation,0.25,8.0,1.9056390622295665
Peur,inquiet,lemma,1.0,5.0,-0.0
Peur,peur,word,1.0,5.0,-0.0
Peur,peur,lemma,1.0,5.0,-0.0
Peur,inquiétude,lemma,1.0,4.0,-0.0
Peur,inquiets,word,1.0,3.0,-0.0
Peur,inquiéter,lemma,1.0,3.0,-0.0
Peur,craindre,lemma,1.0,2.0,-0.0
Peur,développement,lemma,1.0,2.0,-0.0
Peur,développement,word,1.0,2.0,-0.0
Peur,foyer,lemma,1.0,2.0,-0.0
Peur,foyers,word,1.0,2.0,-0.0
Peur,apparition,lemma,1.0,2.0,-0.0
Peur,apparition,word,1.0,2.0,-0.0
Peur,beaucoup,lemma,1.0,2.0,-0.0
Peur,beaucoup,word,1.0,2.0,-0.0
Peur,chine,lemma,1.0,2.0,-0.0
Peur,chine,word,1.0,2.0,-0.0
Peur,hors,word,1.0,2.0,-0.0
Peur,hors,lemma,1.0,2.0,-0.0
Peur,inquiétudes,word,1.0,2.0,-0.0
Surprise,!,punctuation,0.25,4.0,1.5
Tristesse,triste,lemma,1.0,3.0,-0.0
Tristesse,triste,word,1.0,3.0,-0.0
Tristesse,manquer,lemma,1.0,2.0,-0.0
Tristesse,peu,word,0.5,2.0,1.0
Tristesse,peu,lemma,0.5,2.0,1.0
Tristesse,',punctuation,0.125,8.0,1.9056390622295665
Embarras,',punctuation,0.25,8.0,1.9056390622295665
Fierte,fier,lemma,1.0,3.0,-0.0
Fierte,fière,word,1.0,2.0,-0.0
